certificateOfSale,parcel,saleDate
,,
2022-C-000001,CERTIFIED,05/09/2023
2022-C-000002,REDEEMED,
2022-C-000003,REDEEMED,
2022-C-000004,REDEEMED,
2022-C-000005,CERTIFIED,05/09/2023
2022-C-000006,REDEEMED,
2022-C-000007,CERTIFIED,05/09/2023
2022-C-000008,CERTIFIED,05/09/2023
2022-C-000009,CERTIFIED,05/09/2023
2022-C-000010,CERTIFIED,05/09/2023
2022-C-000011,CERTIFIED,05/09/2023
2022-C-000012,CERTIFIED,05/09/2023
2022-C-000013,CERTIFIED,05/09/2023
2022-C-000014,CERTIFIED,05/09/2023
2022-C-000015,CERTIFIED,05/09/2023
2022-C-000016,REDEEMED,
2022-C-000017,CERTIFIED,05/09/2023
2022-C-000018,CERTIFIED,05/09/2023
2022-C-000019,REDEEMED,
2022-C-000020,CERTIFIED,05/09/2023
2022-C-000021,CERTIFIED,05/09/2023
2022-C-000022,CERTIFIED,05/09/2023
2022-C-000023,CERTIFIED,05/09/2023
2022-C-000024,CERTIFIED,05/09/2023
2022-C-000025,CERTIFIED,05/09/2023
2022-C-000026,CERTIFIED,05/09/2023
2022-C-000027,CERTIFIED,05/09/2023
2022-C-000028,CERTIFIED,05/09/2023
2022-C-000029,CERTIFIED,05/09/2023
2022-C-000030,REDEEMED,
2022-C-000031,CERTIFIED,05/09/2023
2022-C-000032,CERTIFIED,05/09/2023
2022-C-000033,CERTIFIED,05/09/2023
2022-C-000034,CERTIFIED,05/09/2023
2022-C-000035,CERTIFIED,05/09/2023
2022-C-000036,CERTIFIED,05/09/2023
2022-C-000037,CERTIFIED,05/09/2023
2022-C-000038,CERTIFIED,05/09/2023
2022-C-000039,CERTIFIED,05/09/2023
2022-C-000040,CERTIFIED,05/09/2023
2022-C-000041,CERTIFIED,05/09/2023
2022-C-000042,CERTIFIED,05/09/2023
2022-C-000043,CERTIFIED,05/09/2023
2022-C-000044,CERTIFIED,05/09/2023
2022-C-000045,CERTIFIED,05/09/2023
2022-C-000046,CERTIFIED,05/09/2023
2022-C-000047,CERTIFIED,05/09/2023
2022-C-000048,CERTIFIED,05/09/2023
2022-C-000049,CERTIFIED,05/09/2023
2022-C-000050,CERTIFIED,05/09/2023
2022-C-000051,CERTIFIED,05/09/2023
2022-C-000052,CERTIFIED,05/09/2023
2022-C-000053,CERTIFIED,05/09/2023
2022-C-000054,CERTIFIED,05/09/2023
2022-C-000055,CERTIFIED,05/09/2023
2022-C-000056,CERTIFIED,05/09/2023
2022-C-000057,CERTIFIED,05/09/2023
2022-C-000058,CERTIFIED,05/09/2023
2022-C-000059,CERTIFIED,05/09/2023
2022-C-000060,CERTIFIED,05/09/2023
2022-C-000061,CERTIFIED,05/09/2023
2022-C-000062,REDEEMED,
2022-C-000063,CERTIFIED,05/09/2023
2022-C-000064,CERTIFIED,05/09/2023
2022-C-000065,REDEEMED,
2022-C-000066,CERTIFIED,05/09/2023
2022-C-000067,CERTIFIED,05/09/2023
2022-C-000068,CERTIFIED,05/09/2023
2022-C-000069,CERTIFIED,05/09/2023
2022-C-000070,CERTIFIED,05/09/2023
2022-C-000071,CERTIFIED,05/09/2023
2022-C-000072,CERTIFIED,05/09/2023
2022-C-000073,REDEEMED,
2022-C-000074,CERTIFIED,05/09/2023
2022-C-000075,REDEEMED,
2022-C-000076,CERTIFIED,05/09/2023
2022-C-000077,REDEEMED,
2022-C-000078,CERTIFIED,05/09/2023
2022-C-000079,REDEEMED,
